"","plot","year","integrated_ndvi","annual_mean","annual_median","winter_spring_mean","winter_spring_median","winter_spring_max","winter_spring_integrated","summer_mean","summer_median","summer_max","summer_integrated","n_winter_spring","n_summer","n_total"
"220","CM6",2004,205.189566009346,0.560627229533731,0.570825096121733,0.584188396330264,0.59341864514013,0.67346053822783,88.7966362422001,0.487069320266613,0.481872617899671,0.561165092226366,44.8103774645284,152,92,366
"221","CM6",2005,155.128481838796,0.425009539284372,0.375099535362236,0.523006103859876,0.492398865133454,0.616821522183286,78.9739216828413,0.335884516976094,0.337477825738705,0.352664184662949,30.9013755618006,151,92,365
"222","CM6",2006,140.360955731678,0.384550563648434,0.407394449301308,0.451088180808395,0.461273049971511,0.48755883266489,68.1143153020676,0.253366970375111,0.247041526863062,0.377258652141199,23.3097612745102,151,92,365
"223","CM6",2007,163.113482809788,0.446886254273391,0.45297713561485,0.47285424230182,0.465265677078481,0.552412588831727,71.4009905875748,0.380187882886324,0.378019606312209,0.420843530884927,34.9772852255418,151,92,365
"224","CM6",2008,177.593802014963,0.485228967253997,0.495996199629826,0.501396618878956,0.503252905392694,0.507010780250195,76.2122860696012,0.437231512974599,0.434834245194777,0.492804698526417,40.2252991936631,152,92,366
"225","CM6",2009,173.924299323326,0.476504929652947,0.476724597672585,0.559838268565675,0.566647393341207,0.581476641655986,84.5355785534169,0.368399545561682,0.360131690587089,0.41837968250727,33.8927581916747,151,92,365
"226","CM6",2010,200.873514729616,0.550338396519495,0.569577637945983,0.570757614192323,0.587852774848153,0.604930374182872,86.1843997430407,0.489133666842469,0.481287562652453,0.589025847816188,45.0002973495071,151,92,365
"227","CM6",2011,199.289478995985,0.54599857259174,0.546611855559737,0.566118362401118,0.558366171456238,0.67333266733925,85.4838727225688,0.454801114844753,0.380300977104278,0.770207110302253,41.8417025657173,151,92,365
"228","CM6",2012,179.732095875075,0.491071300205123,0.500323179678562,0.550063348450693,0.557569616054046,0.603844331121998,83.6096289645053,0.40937445410495,0.421896066353249,0.437785898938321,37.6624497776554,152,92,366
"229","CM6",2013,164.992279306755,0.452033641936315,0.461088881971914,0.493079943357857,0.483781463008874,0.547600905522633,74.4550714470364,0.370518897299953,0.368166871855831,0.398018096328403,34.0877385515956,151,92,365
"230","CM6",2014,146.924351420348,0.402532469644789,0.403400093434118,0.435310115008938,0.448403446445583,0.468763460881316,65.7318273663497,0.364161461439932,0.367333911346895,0.389447900153338,33.5028544524738,151,92,365
"231","CM6",2015,146.142901653944,0.400391511380667,0.393141214708242,0.418934889079017,0.411443859423788,0.470468592691285,63.2591682509317,0.358255505764024,0.377869843923639,0.396545559595504,32.9595065302903,151,92,365
"232","CM6",2016,155.993409809638,0.426211502212126,0.415332314435381,0.443847606810271,0.442397176049174,0.497137790468659,67.4648362351612,0.374879563852182,0.372237517524149,0.4028027504593,34.4889198744008,152,92,366
"233","CM6",2017,151.255298479124,0.414398078024998,0.421410598943791,0.446984381601747,0.445028687359116,0.543960163265693,67.4946416218638,0.360193038380891,0.361061843924606,0.394989303249121,33.137759531042,151,92,365
"234","CM6",2018,156.552875509812,0.428911987698116,0.429019243362795,0.426240488111344,0.431532336339121,0.461727230873902,64.3623137048129,0.407521043738026,0.408692872548863,0.435229866715746,37.4919360238984,151,92,365
"235","CM6",2019,146.638101231675,0.401748222552533,0.40231085484857,0.453417159009103,0.428881113143781,0.54330559311495,68.4659910103746,0.3385180239913,0.332820853885898,0.361046181560669,31.1436582071996,151,92,365
"236","CM6",2020,156.218090595686,0.426825384141218,0.416327807377649,0.425433294621503,0.436896281122814,0.459858150136961,64.6658607824684,0.380998199753207,0.384551879872959,0.419663398759171,35.051834377295,152,92,366
"237","CM6",2021,163.061212111735,0.446743046881466,0.420514058672346,0.535663057309736,0.533591463869316,0.656240897363012,80.8851216537702,0.364896433657706,0.364988327088822,0.401521342098569,33.5704718965089,151,92,365
"238","CM6",2022,151.232489777395,0.41433558843122,0.390445211819423,0.396695438354895,0.397507735502808,0.436666943964441,59.9010111915892,0.375863450367386,0.371826257926975,0.400760066548699,34.5794374337995,151,92,365
"239","CM6",2023,143.392379188294,0.392855833392587,0.380992230601392,0.425237894970618,0.399529607773363,0.702838744320831,64.2109221405633,0.35957302285639,0.357116103688224,0.416756878039566,33.0807181027879,151,92,365
"240","CM6",2024,162.478367246162,0.44636914078616,0.389741938107052,0.525631237338359,0.503966778472697,0.874829985893606,79.8959480754306,0.358632865743534,0.351189766259017,0.390870619423285,32.9942236484051,152,92,364
"241","MM1",1985,102.651720388531,0.339906358902419,0.289908702482681,0.289908016736756,0.289906815655392,0.289918106467413,25.5119054728345,0.292396890182853,0.289787814480901,0.34198146238959,26.9005138968224,88,92,302
"242","MM1",1986,136.371622078459,0.373620882406737,0.342389982804595,0.423627683827998,0.450055180719865,0.498805950722802,63.9677802580277,0.341753690826415,0.342288716699279,0.346748406366282,31.4413395560302,151,92,365
"243","MM1",1987,132.892153694364,0.364088092313327,0.33991062429287,0.338788019470219,0.339308105606772,0.340703848526243,51.1569909400031,0.344566980359556,0.321743773427658,0.419624309625025,31.7001621930792,151,92,365
"244","MM1",1988,143.639973466245,0.392458943896844,0.377701987875983,0.426018426805313,0.421296828800103,0.49811906378531,64.7548008744076,0.326308763269656,0.330356869421106,0.335373667420948,30.0204062208084,152,92,366
"245","MM1",1989,147.885574038816,0.405165956270728,0.387966415078455,0.437588107138591,0.438841693162063,0.486796507749463,66.0758041779272,0.379752885760303,0.380817134402957,0.387114928416161,34.9372654899479,151,92,365
"246","MM1",1990,140.393522125831,0.384639786646111,0.38772193160642,0.404812737874441,0.412771754594953,0.432269570697042,61.1267234190406,0.357617911526768,0.358577733229769,0.370748161479799,32.9008478604627,151,92,365
"247","MM1",1991,143.453311390976,0.393022770934181,0.388244610039589,0.39258275251152,0.389640475238736,0.41822558177016,59.2799956292396,0.343293722783786,0.34268377738903,0.405436751035785,31.5830224961083,151,92,365
"248","MM1",1992,144.506456883347,0.394826384927177,0.385781874226506,0.391950772868891,0.40337996078315,0.451841591879764,59.5765174760715,0.349402913663603,0.347826385723422,0.388824965250218,32.1450680570515,152,92,366
"249","MM1",1993,149.313083865808,0.409076942098105,0.408083592669655,0.440276058456838,0.416560002702439,0.51404773377971,66.4816848269826,0.343354450991913,0.341573980262455,0.382915796484295,31.588609491256,151,92,365
"250","MM1",1994,148.143261998231,0.405871950680084,0.410859148470242,0.443900800154868,0.438280025299713,0.48833726970074,67.029020823385,0.356244465928535,0.353397580688136,0.393602174930157,32.7744908654252,151,92,365
"251","MM1",1995,145.242044570964,0.397923409783464,0.413471865471791,0.39949793368498,0.412585351900328,0.426585234875857,60.324187986432,0.353191572027866,0.32473198043063,0.44535388355219,32.4936246265637,151,92,365
"252","MM1",1996,155.930287811795,0.426039037737144,0.456484504687402,0.460301557575604,0.464408727082699,0.47212415010432,69.9658367514918,0.348847844244094,0.344072564123015,0.405872151117072,32.0940016704567,152,92,366
"253","MM1",1997,137.834034259571,0.377627491122111,0.371670303315796,0.40915560979393,0.381169172738225,0.510903524219826,61.7824970788835,0.344663880266794,0.335434627222537,0.372564057546951,31.709076984545,151,92,365
"254","MM1",1998,141.684071685304,0.388175538863847,0.385131590994804,0.391280401885834,0.392189268126093,0.40554440462583,59.0833406847609,0.332512220392182,0.331580384379982,0.352917193581515,30.5911242760807,151,92,365
"255","MM1",1999,151.244540141337,0.414368603126952,0.404889089197212,0.431259726957028,0.440073493334136,0.501642031402284,65.1202187705112,0.365432378891128,0.365881012356986,0.409516849123468,33.6197788579838,151,92,365
"256","MM1",2000,165.398721806812,0.451909075974897,0.446722527169113,0.462346377397833,0.46302900365447,0.532387085702192,70.2766493644707,0.401001130672626,0.401512456390651,0.409837139424553,36.8921040218816,152,92,366
"257","MM1",2001,165.33893880038,0.452983393973645,0.469663759062223,0.502661465011586,0.50381598090967,0.532012684380728,75.9018812167494,0.368830762177013,0.376636482850665,0.419343451734565,33.9324301202852,151,92,365
"258","MM1",2002,159.229859060391,0.436246189206551,0.452561709936996,0.446539537490366,0.450899753991197,0.479735747873543,67.4274701610452,0.396409748747588,0.383792532797801,0.475288145564246,36.4696968847781,151,92,365
"259","MM1",2003,154.731395128618,0.423921630489365,0.425627760427026,0.458907181776406,0.454417141848754,0.524551624431356,69.2949844482373,0.335513068984475,0.333827214712843,0.359407654309261,30.8672023465717,151,92,365
"260","MM1",2004,156.392419824434,0.427301693509383,0.419565440694998,0.464861838831718,0.482769680405793,0.568253937929179,70.6589995024212,0.358604527209535,0.353193331021548,0.41186788546767,32.9916165032772,152,92,366
"261","MM1",2005,138.027542722191,0.378157651293675,0.374026196063372,0.450406565475665,0.452759588569591,0.50506271652821,68.0113913868254,0.280878230730184,0.277077824904619,0.304561891051362,25.8407972271769,151,92,365
"262","MM1",2006,153.008078019626,0.419200213752399,0.418280424097382,0.421010443500186,0.417273287467112,0.433486146902609,63.5725769685281,0.385492426626451,0.371225150956606,0.459305563006195,35.4653032496335,151,92,365
"263","MM1",2007,148.886185302868,0.40790735699416,0.419192601768045,0.445004804538054,0.445505563199457,0.466930802321257,67.1957254852461,0.350108614398466,0.350406591203047,0.367721462147871,32.2099925246589,151,92,365
"264","MM1",2008,147.938971051343,0.404204838938097,0.395434453593701,0.426807358147041,0.443229710139292,0.453938179326717,64.8747184383502,0.368785532991236,0.373536070454265,0.405111407709394,33.9282690351937,152,92,366
"265","MM1",2009,140.50765257482,0.384952472807727,0.39740854073025,0.433492586895814,0.450249759956017,0.469552059197423,65.4573806212679,0.293349239123719,0.28600102601549,0.352108867210702,26.9881299993821,151,92,365
"266","MM1",2010,168.808250179185,0.462488356655301,0.47043925829561,0.460588789915517,0.466628707724923,0.575506491599555,69.5489072772431,0.416870832467254,0.397434571520312,0.507907710790963,38.3521165869874,151,92,365
