"plot","ndvi","year","month","day"
"OM1",0.297818034887314,"1987","05","30"
"OM2",0.385953456163406,"1987","05","30"
"OM3",0.320375293493271,"1987","05","30"
"OM4",0.290671110153198,"1987","05","30"
"OM5",0.639459848403931,"1987","05","30"
"OM6",0.277817845344543,"1987","05","30"
"CM1",0.321594923734665,"1987","07","01"
"CM2",0.319735378026962,"1987","07","01"
"CM3",0.359013170003891,"1987","07","01"
"CM4",0.334116339683533,"1987","07","01"
"CM5",0.339716047048569,"1987","07","01"
"CM6",0.399876117706299,"1987","07","01"
"MM1",0.31093955039978,"1987","07","01"
"MM2",0.353235393762589,"1987","07","01"
"MM3",0.35722342133522,"1987","07","01"
"MM4",0.356987237930298,"1987","07","01"
"MM5",0.276728808879852,"1987","07","01"
"MM6",0.252624601125717,"1987","07","01"
"OM1",0.300115942955017,"1987","07","01"
"OM2",0.351332545280457,"1987","07","01"
"OM3",0.331416219472885,"1987","07","01"
"OM4",0.270134121179581,"1987","07","01"
"OM5",0.616665005683899,"1987","07","01"
"OM6",0.266401588916779,"1987","07","01"
"CM1",0.342599987983704,"1987","07","17"
"CM2",0.290171265602112,"1987","07","17"
"CM3",0.318983733654022,"1987","07","17"
"CM4",0.300888746976852,"1987","07","17"
"CM5",0.328626990318298,"1987","07","17"
"CM6",0.387124955654144,"1987","07","17"
"MM1",0.3182033598423,"1987","07","17"
"MM2",0.349986046552658,"1987","07","17"
"MM3",0.34137287735939,"1987","07","17"
"MM4",0.353080093860626,"1987","07","17"
"MM5",0.298960834741592,"1987","07","17"
"MM6",0.234507247805595,"1987","07","17"
"OM1",0.319239139556885,"1987","07","17"
"OM2",0.383967220783234,"1987","07","17"
"OM3",0.317037343978882,"1987","07","17"
"OM4",0.287591069936752,"1987","07","17"
"OM5",0.621354639530182,"1987","07","17"
"OM6",0.283889502286911,"1987","07","17"
"CM1",0.331675112247467,"1987","08","02"
"CM2",0.336132943630219,"1987","08","02"
"CM3",0.298801362514496,"1987","08","02"
"CM4",0.290983825922012,"1987","08","02"
"CM5",0.341138750314713,"1987","08","02"
"CM6",0.351758033037186,"1987","08","02"
"MM1",0.316326349973679,"1987","08","02"
"MM2",0.345221191644669,"1987","08","02"
"MM3",0.30987137556076,"1987","08","02"
"MM4",0.373742371797562,"1987","08","02"
"MM5",0.30748125910759,"1987","08","02"
"MM6",0.247014120221138,"1987","08","02"
"OM1",0.256892889738083,"1987","08","02"
"OM2",0.349598944187164,"1987","08","02"
"OM3",0.301409989595413,"1987","08","02"
"OM4",0.288565754890442,"1987","08","02"
"OM5",0.511065423488617,"1987","08","02"
"OM6",0.284588575363159,"1987","08","02"
"CM1",0.318688362836838,"1987","08","18"
"CM2",0.309196084737778,"1987","08","18"
"CM3",0.306541472673416,"1987","08","18"
"CM4",0.304635256528854,"1987","08","18"
"CM5",0.346962988376617,"1987","08","18"
"CM6",0.367020785808563,"1987","08","18"
"MM1",0.304627150297165,"1987","08","18"
"MM2",0.3369500041008,"1987","08","18"
"MM3",0.337975531816483,"1987","08","18"
"MM4",0.337897092103958,"1987","08","18"
"MM5",0.29193788766861,"1987","08","18"
"MM6",0.275108993053436,"1987","08","18"
"OM1",0.277012586593628,"1987","08","18"
"OM2",0.341130793094635,"1987","08","18"
"OM3",0.294639140367508,"1987","08","18"
"OM4",0.286332190036774,"1987","08","18"
